distance,mean,std_dev
10,0.26,0.49030602688525055
20,2.737,1.5855065436635698
30,8.983,3.033597039819231
40,21.639,4.608544130199905
50,41.653,6.179206340623366
60,70.182,8.445050384692799
70,110.12,10.413145538212746
80,163.36,13.671810414133164
90,230.416,14.847523160446661
100,311.822,16.95813421340921
